wilgotnosc,temperatura,opady,ph,decyzja
70,22,40,6.5,1
65,21,35,6.8,1
80,25,50,6.2,1
75,24,45,6.6,1
68,20,30,6.4,1
72,23,42,6.7,1
60,19,25,6.3,1
77,26,48,6.1,1
69,22,38,6.5,1
74,24,44,6.6,1
30,35,5,4.8,0
25,38,0,4.5,0
40,33,10,5.0,0
90,10,100,8.0,0
20,40,2,4.2,0
95,8,120,8.5,0
35,36,8,4.9,0
88,12,90,7.8,0
28,39,1,4.3,0
92,9,110,8.2,0
67,21,36,6.4,1
73,23,41,6.5,1
66,20,34,6.3,1
78,25,47,6.2,1
71,22,39,6.6,1
32,34,6,4.7,0
27,37,3,4.4,0
42,32,12,5.1,0
89,11,95,7.9,0
22,41,0,4.1,0
64,20,33,6.4,1
76,24,46,6.7,1
70,21,37,6.5,1
79,26,49,6.3,1
62,19,28,6.2,1
38,35,9,4.8,0
24,39,1,4.3,0
91,10,105,8.1,0
29,38,2,4.4,0
87,13,85,7.7,0
72,21,55,6.4,1
68,23,48,6.6,1
75,20,60,6.7,1
64,22,52,6.3,1
80,19,70,6.8,1
58,24,45,6.1,1
71,21,58,6.5,1
66,23,50,6.4,1
77,20,65,6.7,1
69,22,54,6.2,1
28,36,5,4.6,0
35,34,8,4.9,0
22,39,3,4.4,0
40,37,7,5.0,0
31,35,4,4.7,0
25,38,6,4.5,0
45,33,9,5.1,0
33,36,5,4.8,0
20,40,2,4.3,0
38,34,10,5.0,0
